,precision,recall,f1-score,support
Normal,0.9353233830845771,0.8034188034188035,0.864367816091954,234.0
Pneumonia,0.8380281690140845,0.9482071713147411,0.8897196261682243,251.0
accuracy,0.8783505154639175,0.8783505154639175,0.8783505154639175,0.8783505154639175
macro avg,0.8866757760493308,0.8758129873667723,0.8770437211300892,485.0
weighted avg,0.8849706021944872,0.8783505154639175,0.8774880312035908,485.0
